               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.037492,            0.012314,             0.01404,             0.52066,             0.87386,             0.67832,             0.41183,             0.03731,           0.0060673,            0.020984,            0.007591,            0.007591,            0.007591
                  75,            0.037989,            0.012988,            0.012643,             0.51852,             0.84053,             0.64865,             0.45734,            0.037142,           0.0060981,            0.027452,            0.007558,            0.007558,            0.007558
                  76,             0.03557,            0.012749,             0.01118,             0.44625,             0.83991,             0.61931,             0.43294,            0.036877,           0.0062971,            0.032887,            0.007525,            0.007525,            0.007525
                  77,            0.033277,            0.012089,            0.011868,             0.59813,             0.73127,              0.6748,             0.52486,            0.038086,           0.0059355,            0.035034,            0.007492,            0.007492,            0.007492
                  78,            0.033539,            0.011331,            0.011374,              0.7033,             0.73523,             0.75458,             0.57286,            0.036609,           0.0058304,            0.030695,            0.007459,            0.007459,            0.007459
                  79,            0.034711,            0.011928,           0.0079838,             0.85455,               0.643,             0.79338,             0.54099,            0.039489,           0.0061799,            0.032818,            0.007426,            0.007426,            0.007426
                  80,            0.034914,            0.011763,            0.011895,             0.81451,             0.70581,             0.77365,             0.54805,            0.038164,            0.007005,            0.035471,            0.007393,            0.007393,            0.007393
                  81,             0.03392,            0.012495,           0.0094911,             0.75315,             0.76227,             0.78765,             0.54808,            0.036394,           0.0067687,            0.034794,             0.00736,             0.00736,             0.00736
                  82,            0.030261,            0.012421,            0.011788,             0.65813,             0.74752,             0.78137,             0.57276,            0.033093,           0.0061728,            0.030599,            0.007327,            0.007327,            0.007327
                  83,            0.032495,            0.013247,             0.01018,             0.79569,             0.73506,             0.81209,             0.54507,            0.035046,           0.0065194,             0.03095,            0.007294,            0.007294,            0.007294
                  84,            0.031778,            0.012856,            0.010342,             0.70353,             0.81007,             0.81544,             0.59164,            0.032921,           0.0061617,            0.025135,            0.007261,            0.007261,            0.007261
                  85,            0.032079,            0.012839,            0.011212,             0.73107,              0.8008,             0.79743,             0.58946,            0.033878,           0.0057872,            0.023882,            0.007228,            0.007228,            0.007228
                  86,            0.028643,            0.010894,           0.0088483,             0.71813,             0.74356,             0.78673,             0.53606,            0.032311,           0.0055686,            0.024129,            0.007195,            0.007195,            0.007195
                  87,            0.030704,            0.013268,            0.010912,             0.69643,              0.7626,             0.73846,             0.49478,            0.032098,           0.0057692,             0.03029,            0.007162,            0.007162,            0.007162
                  88,            0.028051,            0.011336,            0.010954,              0.6261,             0.79765,             0.76328,              0.5052,            0.035282,           0.0060681,            0.027588,            0.007129,            0.007129,            0.007129
                  89,            0.027056,            0.011031,           0.0087255,             0.57472,             0.82131,             0.76659,             0.48366,             0.03397,           0.0064861,            0.025796,            0.007096,            0.007096,            0.007096
                  90,            0.031627,            0.011249,           0.0089806,             0.75496,             0.60437,             0.75767,             0.55923,            0.032925,           0.0069769,            0.021717,            0.007063,            0.007063,            0.007063
                  91,            0.035901,            0.013656,            0.012137,              0.6274,             0.66144,             0.71301,              0.4836,            0.036186,           0.0070906,            0.024256,             0.00703,             0.00703,             0.00703
                  92,            0.033418,            0.013785,            0.012516,             0.52968,             0.73967,             0.66709,             0.50043,            0.034087,           0.0062758,            0.022369,            0.006997,            0.006997,            0.006997
                  93,            0.028951,            0.010976,           0.0096236,             0.56767,             0.72225,             0.68042,             0.52438,            0.034343,           0.0055922,            0.022783,            0.006964,            0.006964,            0.006964
                  94,            0.028418,            0.011959,            0.011724,             0.64367,             0.62462,             0.65386,              0.5171,            0.032364,           0.0057459,            0.025639,            0.006931,            0.006931,            0.006931
                  95,            0.026936,            0.010876,            0.010756,              0.7152,             0.65285,             0.65957,             0.44124,            0.034941,           0.0059691,            0.028702,            0.006898,            0.006898,            0.006898
                  96,            0.029615,            0.012555,           0.0093646,             0.69144,             0.58801,             0.66048,             0.49973,            0.034158,           0.0057828,            0.030548,            0.006865,            0.006865,            0.006865
